Organs,Category,Diseases,Basic,index,UID
"Otorhinolaryngology, Otorhinolaryngology, Oral cavity","Trauma/Injury of otorhinolaryngological, oropharyngeal, and oral cavity system","Eardrum injuries, etc.",,TBL-01-00-521,JlvnmSU
"Otorhinolaryngology, Otorhinolaryngology, Oral cavity","Trauma/Injury of the otorhinolarynx, pharynx, and oral cavity",Nasal bone fractures,,TBL-01-00-522,JlvnmSA
"Otorhinolaryngology, Otorhinolaryngology, Oral cavity","Trauma/Injury of otorhinolaryngological, oropharyngeal, and oral cavity system",Blowhole fracture,,TBL-01-00-523,JlvnmSI
"Otorhinolaryngology, Otorhinolaryngology, Oral cavity",None None,"Typical foreign bodies of the ear canal, nasal cavity, pharynx, larynx, trachea, and esophagus",,TBL-01-00-524,JlvnmRc
Mental system,None,Depression,●,TBL-01-00-525,JlvnmT0
Mental system,None,Bipolar disorder (manic depression),,TBL-01-00-526,JlvnmT4
mental,None None,Schizophrenia,●,TBL-01-00-527,JlvnmUA
mental,None None,Hyperventilation syndrome,,TBL-01-00-528,JlvnmUw
mental,None None,Dissociative disorders,,TBL-01-00-529,JlvnmUQ
Mental system,None None,Acute stress disorder,,TBL-01-00-530,JlvnmUk
mental,None None,Obsessive-compulsive disorder,,TBL-01-00-531,JlvnmUE
mental,None None,Post-traumatic stress disorder,,TBL-01-00-532,JlvnmUo
mental,None None,"Somatic symptom disorder (somatization disorder, pain disorder, psychosomatic disorder)",●,TBL-01-00-533,JlvnmUY
mental,None None,"Anxiety disorders (panic disorder, social anxiety disorder)",●,TBL-01-00-534,JlvnmUM
mental,None None,Psychosomatic disorders,,TBL-01-00-535,JlvnmUc
mental,None None,"Eating disorders (anorexia nervosa (bulimia nervosa), bulimia nervosa)",,TBL-01-00-536,JlvnmU0
mental,None None,Personality disorders,,TBL-01-00-537,JlvnmU8
Mental system,None,dementia,,TBL-01-00-538,JlvnmTU
Mental system,None,"Addictions (drug use, alcohol, gambling)",,TBL-01-00-539,JlvnmTg
Mental system,None,Symptomatic psychosis,,TBL-01-00-540,JlvnmTY
Immunology & Allergy,None None,Systemic allergic diseases,,TBL-01-00-541,JmxLo08
Immunology and Allergy,None None,Rheumatoid arthritis,●,TBL-01-00-542,JmxLo0Y
Immunology & Allergy,Vasculitis Syndrome,Malignant rheumatoid arthritis,,TBL-01-00-543,JlvnmW4
Immunology & Allergy,None None,"Adult Still's disease, Juvenile idiopathic arthritis (JIA)",,TBL-01-00-544,JmxLo0c
Immunology & Allergy,None None,"Systemic lupus erythematosus (SLE) and complications (CNS lupus, lupus nephritis, antiphospholipid antibody syndrome)",●,TBL-01-00-545,JmxLo0g
Immunology & Allergy,None None,Systemic scleroderma,,TBL-01-00-546,JmxLo0k
Immunology & Allergy,None None,Dermatomyositis and polymyositis,,TBL-01-00-547,JmxLo0s
Immunology & Allergy,None None,Mixed connective tissue diseases,,TBL-01-00-548,JmxLo0w
Immunology & Allergy,None None,Sjögren's syndrome,,TBL-01-00-549,JmxLo00
Immunology & Allergy,None None,Behçet's disease,,TBL-01-00-550,JmxLo04
Immunology & Allergy,Vasculitis Syndrome,Giant cell arteritis,,TBL-01-00-551,JlvnmWI
Immunology & Allergy,Vasculitis Syndrome,Takayasu's arteritis (aortitis syndrome),,TBL-01-00-552,JlvnmWM
Immunology & Allergy,Vasculitis Syndrome,Polyarteritis nodosa,,TBL-01-00-553,JlvnmWU
Immunology & Allergy,Vasculitis syndrome,Microscopic polyangiitis,,TBL-01-00-554,JlvnmWY
Immunology & Allergy,Vasculitis syndrome,Granulomatosis polyangiitis,,TBL-01-00-555,JlvnmWg
Immunology & Allergy,Vasculitis Syndrome,Eosinophilic polyangiitis granulomatosa,,TBL-01-00-556,JlvnmWk
Immunology & Allergy,Vasculitis Syndrome,IgA vasculitis,●,TBL-01-00-557,JlvnmWs
Immunology & Allergy,Vasculitis Syndrome,Kawasaki disease,●,TBL-01-00-558,JlvnmW0
Immunology & Allergy,Vasculitis Syndrome,Anti-glomerular basement membrane disease (anti-GBM disease),,TBL-01-00-559,JlvnmXA
Immunology & Allergy,Other rheumatic diseases,Ankylosing spondylitis,,TBL-01-00-560,JlvnmVE
Immunology & Allergy,Other rheumatic diseases,Reactive arthritis,,TBL-01-00-561,JlvnmVI
Immunology & Allergy,Other rheumatic diseases,Psoriatic arthritis,,TBL-01-00-562,JlvnmVQ
Immunology & Allergy,Other rheumatic diseases,Palmoplantar pustular arthritis,,TBL-01-00-563,JlvnmVU
Immunology & Allergy,Other rheumatic diseases,Ankylosing spondylitis,,TBL-01-00-564,JlvnmVE
Immunology & Allergy,Other rheumatic diseases,Reactive arthritis,,TBL-01-00-565,JlvnmVI
Immunology & Allergy,Other rheumatic diseases,Psoriatic arthritis,,TBL-01-00-566,JlvnmVQ
Immunology & Allergy,Other rheumatic diseases,Palmoplantar pustular arthritis,,TBL-01-00-567,JlvnmVU
Immunology & Allergy,Other Rheumatic Diseases,Osteoarthritis,,TBL-01-00-568,JlvnmVg
Immunology & Allergy,Other rheumatic diseases,Crystal-induced arthritis,,TBL-01-00-569,JlvnmVc
Immunology & Allergy,Other Rheumatic Diseases,Polymyalgia rheumatica,,TBL-01-00-570,JlvnmVo
Immunology & Allergy,Other Rheumatic Diseases,Fibromyalgia,,TBL-01-00-571,JlvnmVs
Immunology & Allergy,Other Rheumatic Diseases,IgG4-related diseases,,TBL-01-00-572,JlvnmV0
Immunology & Allergy,Other Rheumatic Diseases,Rheumatic fever,,TBL-01-00-573,JlvnmWA
Immunology & Allergy,None None,Autoinflammatory diseases,,TBL-01-00-574,JmxLo1M
Immunology & Allergy,None None,Acquired Immunodeficiency Syndrome (AIDS),●,TBL-01-00-575,JmxLo1A
Immunology & Allergy,None None,Primary immunodeficiency syndrome,,TBL-01-00-576,JmxLo1E
Immunology & Allergy,None None,"Secondary immunodeficiency syndromes (due to malignancy, medically-induced or autoimmune diseases)",,TBL-01-00-577,JmxLo1I
Infectious Diseases,Community-acquired infections,Meningoencephalitis,●,TBL-01-00-578,JlvnmXE
Infectious Diseases,Community-acquired infections,Pharyngitis,,TBL-01-00-579,JlvnmXM
Infectious Diseases,Community-acquired infections,Bloodstream infection/Infective endocarditis,●,TBL-01-00-580,JlvnmXY
Infectious Diseases,Community-acquired infections,Pneumonia (typical and atypical),●,TBL-01-00-581,JlvnmXc
Infectious Diseases,Community-acquired infections,Intra-abdominal infection,,TBL-01-00-582,JlvnmXk
Infectious Disease,Community-acquired infections,Cystitis/pyelonephritis,●,TBL-01-00-583,JlvnmXo
Infectious Disease,Community-acquired infections,Skin and soft tissue infections,,TBL-01-00-584,JlvnmXw
Infectious Disease,Community-acquired infections,Arthritis,,TBL-01-00-585,JlvnmX0
Infectious Disease,Healthcare-associated infections,Intravascular indwelling catheter-related infections,●,TBL-01-00-586,JlvnmX4
Infectious Disease,Healthcare-associated infections,Urinary catheter infection,●,TBL-01-00-587,JlvnmX8
Infectious Disease,Healthcare-associated infections,Healthcare-associated pneumonia/ventilator-associated pneumonia,,TBL-01-00-588,JlvnmYE
Infectious Disease,Healthcare-associated infections,Surgical site infection,●,TBL-01-00-589,JlvnmYI
Infectious Disease,Healthcare-associated infections,Clostridioides difficile infection,,TBL-01-00-590,JlvnmYQ
Infectious Disease,Immunodeficiency,Diabetes mellitus,,TBL-01-00-591,JlvnmYU
Infectious Disease,Immunodeficiency,Kidney disease,,TBL-01-00-592,JlvnmYc
Infectious Disease,Immunodeficiency,Liver Disease,,TBL-01-00-593,JlvnmYg
Infectious Disease,Immunodeficiency,Cancer/Hematological disease,,TBL-01-00-594,JlvnmYo
Infectious Disease,Immunodeficiency,Neutropenia,,TBL-01-00-595,JlvnmYs
Infectious Disease,Immunodeficiency,Immunosuppressive drug use,,TBL-01-00-596,JlvnmY0
Infectious Disease,Immunodeficiency,HIV/AIDS,,TBL-01-00-597,JlvnmY8
Infectious Disease,Immunodeficiency,Organ transplant,,TBL-01-00-598,JlvnmZA
Infectious Disease,Vaccine-Preventable Diseases,Measles,,TBL-01-00-599,JlvnmZI
Infectious Disease,Vaccine-Preventable Diseases,Rubella,,TBL-01-00-600,JlvnmZM
Infectious Disease,Vaccine-preventable diseases,Mumps,,TBL-01-00-601,JlvnmZU
Infectious Disease,Vaccine-preventable diseases,Chickenpox,,TBL-01-00-602,JlvnmZY
Infectious Disease,Vaccine-preventable diseases,Hepatitis B,,TBL-01-00-603,JlvnmZg
Infectious Disease,Vaccine-preventable diseases,Haemophilus influenzae,,TBL-01-00-604,JlvnmZk
Infectious Disease,Vaccine-preventable diseases,Streptococcus pneumoniae,,TBL-01-00-605,JlvnmZs
Infectious Disease,Vaccine-preventable diseases,Tetanus Diphtheria,,TBL-01-00-606,JlvnmZ0
Infectious Disease,Vaccine-preventable diseases,Influenza,,TBL-01-00-607,JlvnmZ4
Infectious Disease,Vaccine-preventable diseases,New coronavirus,,TBL-01-00-608,JlvnmaA
Tumors,"Blood, hematopoietic and lymphatic systems",Acute leukemia,●,TBL-01-00-609,JlvnmaE
Tumors,"Blood, hematopoietic and lymphatic systems",Chronic myelogenous leukemia,,TBL-01-00-610,JlvnmaM
Tumors,"Blood, hematopoietic and lymphatic systems",Myelodysplastic syndrome,,TBL-01-00-611,JlvnmaQ
Tumor,"Blood, blood-forming organs, lymphatic system",Adult T-cell leukemia,,TBL-01-00-612,JlvnmaY
Tumor,"Blood, blood-forming organs, lymphatic system",Erythropoiesis,,TBL-01-00-613,Jlvnmac
tumor,"Blood, blood-forming organs, lymphatic system",Essential thrombocythemia,,TBL-01-00-614,Jlvnmak
tumor,"Blood, blood-forming organs, lymphatic system",Myelofibrosis,,TBL-01-00-615,Jlvnmao
tumor,"Blood, blood-forming organs, lymphatic system",Malignant lymphoma,,TBL-01-00-616,Jlvnmas
tumor,"Blood, blood-forming organs, lymphatic system",Multiple myeloma,,TBL-01-00-617,Jlvnmaw
tumor,Nervous system,Glioblastoma,,TBL-01-00-618,Jlvnma4
tumor,Nervous system,Meningiomas,,TBL-01-00-619,Jlvnma8
tumor,Nervous system,Neurolemmoma,,TBL-01-00-620,JlvnmbE
tumor,Nervous system,Metastatic brain tumors,,TBL-01-00-621,JlvnmbI
tumor,Dermatological system,Basal cell carcinoma,,TBL-01-00-622,JlvnmbQ
tumor,Dermal system,Spinous cell carcinoma,,TBL-01-00-623,JlvnmbU
tumor,Dermal system,Malignant melanoma,,TBL-01-00-624,Jlvnmbc
tumor,Dermal system,Malignant lymphoma,,TBL-01-00-625,Jlvnmbg
tumor,Motor (musculoskeletal) system,Osteosarcoma,,TBL-01-00-626,Jlvnmbo
tumor,Motor (musculoskeletal) system,Chondrosarcoma,,TBL-01-00-627,Jlvnmbs
tumor,Motor (musculoskeletal) system,Ewing sarcoma,,TBL-01-00-628,Jlvnmb0
tumor,Motor (musculoskeletal) system,Metastatic spinal tumor,,TBL-01-00-629,Jlvnmb8
tumor,Circulatory system,Myxoma,,TBL-01-00-630,JlvnmcA
tumor,Respiratory system,Lung cancer,●,TBL-01-00-631,JlvnmcI
tumor,Respiratory system,Pleural mesothelioma,,TBL-01-00-632,JlvnmcM
tumor,Respiratory system,Metastatic lung tumor,,TBL-01-00-633,JlvnmcU
tumor,Respiratory system,Mediastinal tumors (including thymoma),,TBL-01-00-634,JlvnmcY
tumor,Digestive system,Esophageal cancer,●,TBL-01-00-635,Jlvnmcg
tumor,Digestive system,Stomach cancer,●,TBL-01-00-636,Jlvnmco
tumor,Digestive system,Colorectal polyps,,TBL-01-00-637,Jlvnmcs
tumor,Digestive Organs,Colorectal cancer,●,TBL-01-00-638,Jlvnmc0
tumor,Digestive Organs,Gallbladder and bile duct cancer,,TBL-01-00-639,Jlvnmc4
tumor,Digestive Organs,Primary liver cancer,●,TBL-01-00-640,JlvnmdA
tumor,Digestive Organs,Pancreatic neuroendocrine tumors,,TBL-01-00-641,JlvnmdE
tumor,Digestive Organs,Cystic pancreatic tumor,,TBL-01-00-642,JlvnmdM
tumor,Digestive Organs,Pancreatic cancer,●,TBL-01-00-643,JlvnmdQ
tumor,Renal and Urinary System,Renal cancer,●,TBL-01-00-644,JlvnmdY
tumor,Renal and Urinary System,Cancer of the renal pelvis and ureter/bladder,●,TBL-01-00-645,Jlvnmdg
tumor,Reproductive system,Prostate cancer,●,TBL-01-00-646,Jlvnmdk
tumor,Reproductive system,Testicular tumor,,TBL-01-00-647,Jlvnmds
tumor,Reproductive system,Cancer of the cervix,●,TBL-01-00-648,Jlvnmdw
tumor,Reproductive system,Uterine cancer (endometrial cancer),●,TBL-01-00-649,Jlvnmd4
tumor,Reproductive system,Ovarian tumor,●,TBL-01-00-650,JlvnmeA
tumor,Reproductive system,Choriocarcinoma,,TBL-01-00-651,JlvnmeM
tumor,Reproductive system,Hydatidiform mole,,TBL-01-00-652,JlvnmeE
tumor,Breast,Primary breast cancer,●,TBL-01-00-653,JlvnmeQ
tumor,Breast,Fibroadenoma,,TBL-01-00-654,JlvnmeY
tumor,Breast,Mastopathy,,TBL-01-00-655,Jlvnmec
tumor,"Endocrine, Nutritional and Metabolic System",Adenomatous goiter,,TBL-01-00-656,Jlvnmeo
tumor,"Endocrine, Nutritional and Metabolic System",Pituitary tumor,,TBL-01-00-657,Jlvnmek
tumor,"Endocrine, Nutritional and Metabolic Systems",Thyroid cancer,,TBL-01-00-658,Jlvnmew
tumor,"Endocrine, Nutritional and Metabolic Systems",Pheochromocytoma,,TBL-01-00-659,Jlvnme0
tumor,"Endocrine, Nutritional and Metabolic System",Multiple endocrine neoplasia,,TBL-01-00-660,Jlvnme4
tumor,Eye and vision system,Retinoblastoma,,TBL-01-00-661,Jlvnme8
tumor,"Otorhinolaryngology, Throat, and Oral (Head and Neck)",Tongue cancer,,TBL-01-00-662,JlvnmfE
tumor,"Otorhinolaryngology, Otorhinolaryngology, Oral (Head and Neck)",Pharyngeal cancer,,TBL-01-00-663,JlvnmfI
tumor,"Otorhinolaryngology, Otorhinolaryngology, Oral (Head and Neck)",Laryngeal cancer,,TBL-01-00-664,JlvnmfQ
tumor,Pediatric,Brain tumor,,TBL-01-00-665,JlvnmfU
tumor,Pediatric,Hematologic tumor,,TBL-01-00-666,Jlvnmfc
tumor,Pediatric,Retinoblastoma,,TBL-01-00-667,Jlvnmfg
tumor,Pediatric,Neuroblastoma,,TBL-01-00-668,Jlvnmfo
tumor,Pediatric,Nephroblastoma,,TBL-01-00-669,Jlvnmfs
tumor,Pediatric,Hepatoblastoma,,TBL-01-00-670,Jlvnmf0
tumor,Pediatric,"Germ cell tumors, including teratomas",,TBL-01-00-671,Jlvnmf4
tumor,Hereditary Tumors,Familial colorectal adenomatosis,,TBL-01-00-672,Jlvnmf8
tumor,Hereditary Tumors,Hereditary breast and ovarian cancer syndrome,,TBL-01-00-673,JlvnmgA
tumor,Hereditary tumors,Hereditary non-polyposis colorectal cancer <Lynch syndrome,,TBL-01-00-674,JlvnmgI
tumor,Hereditary Oncology,Li-Fraumeni syndrome,,TBL-01-00-675,JlvnmgM
tumor,Oncology Emergencies,Spinal cord compression by tumor,,TBL-01-00-676,JlvnmgU
tumor,Oncology Emergency,Tumor Collapse,,TBL-01-00-677,JlvnmgY
tumor,Oncology Emergency,Superior vena cava syndrome,,TBL-01-00-678,Jlvnmgg
tumor,Oncology Emergency,Tumor-induced metabolic disorder,,TBL-01-00-679,Jlvnmgk
tumor,Oncology Emergency,"Treatment adverse events, etc.",,TBL-01-00-680,Jlvnmgs
